,mean_fit_time,mean_score_time,mean_test_score,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_delta_step,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,std_fit_time,std_score_time,std_test_score
20,223.5714674,24.97779155,-2.403782666,0.269497877,0.048796972,1.00E-09,0.275396765,0,36,5,65,0.000134253,1000,500,1,"{'colsample_bylevel': 0.2694978771734459, 'colsample_bytree': 0.04879697202381322, 'gamma': 1e-09, 'learning_rate': 0.27539676467842805, 'max_delta_step': 0, 'max_depth': 36, 'min_child_weight': 5, 'n_estimators': 65, 'reg_alpha': 0.00013425301089705773, 'reg_lambda': 1000.0, 'scale_pos_weight': 499.99999999999994, 'subsample': 1.0}",1,-2.403870077,-2.403717212,-2.403760702,1.013551523,0.020391628,6.43E-05
21,540.6410384,48.2935938,-29.5685192,0.717571981,0.525730143,0.000418099,0.423871995,10,45,3,64,1.00E-09,0.010415858,0.000101033,0.014576315,"{'colsample_bylevel': 0.7175719805784249, 'colsample_bytree': 0.5257301427941578, 'gamma': 0.00041809934614956166, 'learning_rate': 0.423871995158274, 'max_delta_step': 10, 'max_depth': 45, 'min_child_weight': 3, 'n_estimators': 64, 'reg_alpha': 1e-09, 'reg_lambda': 0.010415857850892551, 'scale_pos_weight': 0.00010103307272661154, 'subsample': 0.01457631464230228}",1,-31.51488262,-23.88764719,-33.30306121,49.35754332,3.641582693,4.082758905
22,313.8837287,58.67800069,-2.326110372,0.273442095,0.665880431,0.022719657,0.093468942,12,9,2,50,2.03E-08,0.000650582,0.714351331,0.162050229,"{'colsample_bylevel': 0.2734420949777491, 'colsample_bytree': 0.665880431227863, 'gamma': 0.022719656837965545, 'learning_rate': 0.09346894244344187, 'max_delta_step': 12, 'max_depth': 9, 'min_child_weight': 2, 'n_estimators': 50, 'reg_alpha': 2.0288421071280573e-08, 'reg_lambda': 0.0006505816464279002, 'scale_pos_weight': 0.7143513306012658, 'subsample': 0.16205022939173566}",1,-2.329011417,-2.32479474,-2.324524715,12.30150154,0.4028305,0.002054392
23,2248.605171,315.9404002,-2.241135302,0.698522652,0.491037266,2.83E-09,0.082902006,8,50,5,85,9.37E-05,0.095907483,0.157595721,0.41779151,"{'colsample_bylevel': 0.6985226524165458, 'colsample_bytree': 0.491037265568567, 'gamma': 2.8340411532840297e-09, 'learning_rate': 0.08290200638080121, 'max_delta_step': 8, 'max_depth': 50, 'min_child_weight': 5, 'n_estimators': 85, 'reg_alpha': 9.365940223714929e-05, 'reg_lambda': 0.09590748332256535, 'scale_pos_weight': 0.1575957210407925, 'subsample': 0.41779151022937655}",1,-2.242462742,-2.239023273,-2.24191984,17.97592205,2.759237338,0.00150978
24,1368.44891,78.07093771,-2.648621409,0.945919537,0.806512622,1.06E-06,0.214332672,13,50,5,92,0.025550326,2.92E-06,1.00E-06,0.017462936,"{'colsample_bylevel': 0.9459195370078411, 'colsample_bytree': 0.806512622089517, 'gamma': 1.0616452862918152e-06, 'learning_rate': 0.21433267157519018, 'max_delta_step': 13, 'max_depth': 50, 'min_child_weight': 5, 'n_estimators': 92, 'reg_alpha': 0.02555032598752801, 'reg_lambda': 2.922347061931963e-06, 'scale_pos_weight': 1e-06, 'subsample': 0.01746293630390104}",1,-2.64710305,-2.652100235,-2.646660957,6.818498321,0.734025672,0.002466501
25,1449.509841,278.3921093,-2.315259186,0.70170878,0.304539244,3.07E-09,0.045432407,6,34,5,74,8.84E-05,0.223468635,1.733737019,0.697408551,"{'colsample_bylevel': 0.7017087802825481, 'colsample_bytree': 0.3045392436672504, 'gamma': 3.0729692106659416e-09, 'learning_rate': 0.04543240746177588, 'max_delta_step': 6, 'max_depth': 34, 'min_child_weight': 5, 'n_estimators': 74, 'reg_alpha': 8.841068705124119e-05, 'reg_lambda': 0.22346863474320347, 'scale_pos_weight': 1.73373701949917, 'subsample': 0.6974085509009984}",1,-2.317363125,-2.312504983,-2.315909346,0.954327173,0.238146687,0.002035933
26,254.6122896,45.35006777,-2.358853081,0.258001669,0.671102489,0.011736195,0.088067755,12,7,2,50,2.52E-08,0.00119342,1.236892146,0.18027695,"{'colsample_bylevel': 0.25800166923054135, 'colsample_bytree': 0.6711024891330736, 'gamma': 0.01173619517267704, 'learning_rate': 0.08806775521405143, 'max_delta_step': 12, 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 50, 'reg_alpha': 2.5235356697383456e-08, 'reg_lambda': 0.0011934197100749073, 'scale_pos_weight': 1.2368921462646425, 'subsample': 0.1802769499989271}",1,-2.362331326,-2.357697146,-2.356530463,0.958211104,0.291778948,0.002505283
27,403.9581829,88.70252879,-2.329405983,0.843980863,0.128011674,1.00E-09,0.094063944,8,21,5,65,0.088940642,8.52E-05,7.256937757,0.672108385,"{'colsample_bylevel': 0.843980863227371, 'colsample_bytree': 0.1280116740316065, 'gamma': 1e-09, 'learning_rate': 0.09406394397952159, 'max_delta_step': 8, 'max_depth': 21, 'min_child_weight': 5, 'n_estimators': 65, 'reg_alpha': 0.08894064243366952, 'reg_lambda': 8.519197394951657e-05, 'scale_pos_weight': 7.256937756626145, 'subsample': 0.6721083846710587}",1,-2.33167631,-2.329305735,-2.327235676,2.490453412,0.732576095,0.001814269
28,156.0223505,14.75667429,-31.73720071,0.171845912,0.653952115,1.10E-09,0.980548761,0,50,4,50,4.27E-09,1.00E-09,1.00E-06,0.01,"{'colsample_bylevel': 0.17184591200216467, 'colsample_bytree': 0.6539521151785591, 'gamma': 1.1036750837877112e-09, 'learning_rate': 0.9805487610770686, 'max_delta_step': 0, 'max_depth': 50, 'min_child_weight': 4, 'n_estimators': 50, 'reg_alpha': 4.272147068220105e-09, 'reg_lambda': 1e-09, 'scale_pos_weight': 1e-06, 'subsample': 0.01}",1,-29.57553609,-31.51481466,-34.12148207,14.24933534,1.840445251,1.862527876
29,124.7966309,17.13782024,-2.676340027,0.01,1,0.5,0.151576157,20,1,0,100,2.33E-06,1.00E-09,1.00E-06,0.01,"{'colsample_bylevel': 0.01, 'colsample_bytree': 1.0, 'gamma': 0.49999999999999994, 'learning_rate': 0.1515761571559408, 'max_delta_step': 20, 'max_depth': 1, 'min_child_weight': 0, 'n_estimators': 100, 'reg_alpha': 2.3286726607397784e-06, 'reg_lambda': 1e-09, 'scale_pos_weight': 1e-06, 'subsample': 0.01}",1,-2.628524257,-2.753536741,-2.646960819,0.224286728,0.110776929,0.055102515
